team,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Hot(s) Dads,A,5.3023255813953485,29,122.1929347826087,117.66304347826086,140.1521739130435,172.9239130434782,173.9646739130435,159.71820147566004,355.7088643219981,64.14650031196366,106909.69565217392,145231.13043478262,14835.869565217392,1247.1766304347825,440.04347826086956,1393,12.782608695652174,64.34782608695652,9.782608695652174,41317.30434782609,3881.521739130435,2861.9565217391305,11046.30073879076,32637.635986328125,64929.47826086957
The Part Timers,A,4.097560975609756,38,123.88392857142857,116.33035714285715,142.34821428571428,179.25892857142856,175.40178571428578,172.79033385666665,360.02943809267555,57.17766580160388,94924.95238095238,140411.90476190476,10970.285714285714,1268.779761904762,481.6190476190476,1381.2857142857142,12.142857142857142,66.80952380952381,17.571428571428573,43902.57142857143,3414.7687872023807,2923.809523809524,10145.035226004464,32963.353678385414,68359.28571428571
TouchGrassTomorrow,Heroic,6.371428571428571,41,124.8721590909091,120.66761363636363,142.65625000000003,164.87784090909088,176.24161255411252,210.74269643218625,325.89753668951045,90.02340236415355,123581.45454545454,160784.22727272726,20438.772727272728,1128.5994318181818,409.5,841.5454545454545,11.454545454545455,51.04545454545455,25.363636363636363,37088.27272727273,3530.40380859375,1942.0454545454545,12214.485995205965,30502.545276988636,57812.22727272727
FC Hong Kong,C,7.580952380952381,30,126.31770833333333,118.55989583333333,149.76562500000003,173.24739583333331,170.6875,176.4779281862178,307.6654859965308,66.29739984138035,124098.125,153099.70833333334,13680.083333333334,1274.2057291666667,352.625,693.8333333333334,23.541666666666668,66.70833333333333,25.125,40439.75,4694.375,2713.5416666666665,12790.566487630209,34484.9280090332,67364.875
Gambit Gaming,BE,3.6296296296296298,41,119.38636363636364,115.20170454545455,140.09090909090907,161.58522727272725,174.07670454545462,153.43535024561288,355.4417620730514,59.914445998984824,97352.72727272728,143469.63636363635,12546.772727272728,1237.9431818181818,452.90909090909093,2089.4545454545455,7.863636363636363,68.77272727272727,33.81818181818182,45222.181818181816,4068.3636363636365,1712.5,7750.211536754261,32621.98741566051,68126.36363636363
Protectors of Aiur,BE,7.3418803418803416,32,116.16369047619048,110.35714285714286,130.32738095238093,163.04166666666669,161.84226190476193,160.45666853029195,376.1383048252107,66.02622670600692,100000.66666666667,138579.33333333334,18077,1234.1666666666667,314.8095238095238,2043.952380952381,6.666666666666667,46.095238095238095,19.904761904761905,46154.19047619047,4493.952380952381,2189.285714285714,9810.353155226934,34090.76011439732,69535.42857142857
CM Daybreak,C,1.742603550295858,28,128.575,131.971875,149.8125,209.66875000000005,167.57187499999998,152.01892336245655,266.8430443596027,55.97010737475208,92947.45,151491.7,7788.45,1125.9,715.8,896.2,18.25,48.05,28.25,30935.1,3031.55,1712.5,8106.236108398438,27661.469970703125,59688.05
Start Slow Then Taper Off,BE,5.353260869565218,34,119.00892857142857,111.05654761904763,139.6428571428571,158.47023809523813,173.0565476190476,162.8467356853553,371.3760823639993,62.55921417051207,93598.95238095238,128537.95238095238,11668.190476190477,1122.5267857142858,370.6666666666667,2131.7619047619046,15.476190476190476,55,15.666666666666666,38829.333333333336,3794.0476190476193,2423.809523809524,10148.609561011905,31477.314255487352,61533.23809523809
Surely We Scale,BE,5.01875,25,118.296875,115.56875,141.00312499999998,164.0625,171.28125,154.53522943031567,376.8591926877036,62.954662708368005,104300.55,158968.3,11526.1,1320.23125,374.45,1466.1,22.25,80.9,18.3,46650,4246.45,2302.5,10878.347778320312,37215.1185546875,74765.35
Xul Gin Distillery,BE,4.517857142857143,32,120.00657894736842,117.44736842105262,143.95723684210526,172.02960526315786,171.9375,152.35043045264356,330.2427720402315,70.79321238495184,101061.1052631579,151968.52631578947,13368.684210526315,1226.3355263157894,413.89473684210526,534.421052631579,15.421052631578947,66.42105263157895,42.8421052631579,40873.36842105263,4258.894736842105,2425,10404.231342516447,33585.99234169408,65481.47368421053
