name,division,avgKDA,heroPool,levelTime4,levelTime7,levelTime10,levelTime13,levelTime16,HDM,SDM,HLDM,TFHD,TFDT,TFHL,matchLength,timeSpentDead,ccTime,rootTime,stunTime,silenceTime,minionXP,creepXP,structureXP,heroXP,trickleXP,maxMinionXP
Under Newb Management,A,6.037209302325581,44,122.56433823529412,116.63786764705881,136.26470588235293,166.14522058823536,167.98445855614966,146.603206987815,330.0023530982968,59.718258198092926,81584.76470588235,110048.38235294117,8196.235294117647,1177.2426470588234,324.7647058823529,1155.4117647058824,23.08823529411765,52.029411764705884,14.617647058823529,41656.544117647056,3720.8823529411766,2533.0882352941176,9867.496711282169,32061.26011029412,20559.955882352944
Bad Rats,C,5.224550898203593,43,125.61931818181819,117.72348484848484,146.58712121212122,162.30303030303025,176.6158357771261,158.1950762728281,315.0646671723683,79.38439391170823,107571.54545454546,152372.75757575757,15211.39393939394,1171.3863636363637,423.6363636363636,1262.969696969697,23.818181818181817,52.878787878787875,35.333333333333336,37720.63636363636,3671.4545454545455,2028.030303030303,11295.296586470171,32384.005104758522,25497.212121212127
LTK - No Time to Die,DE,5.439506172839506,39,123.52616279069767,115.59738372093022,141.33430232558143,163.5479651162791,170.5160610465116,168.52029418112897,307.6857426277732,63.65885313115446,100033.6046511628,134182.11627906977,14020.39534883721,1058.8139534883721,361.7674418604651,3226.3953488372094,14.13953488372093,54.86046511627907,12.465116279069768,33749.151162790695,3342.447379178779,2326.1627906976746,9985.90093568314,28313.010708121365,20035.895348837214
Mommy's Little Gamers,Heroic,11.577540106951872,48,120.970703125,104.392578125,129.466796875,152.583984375,151.6786794354839,196.730966955237,339.9951302532229,71.43312268954183,106396.125,131130.5,12568.90625,1081.62890625,268.6875,681.46875,21.0625,69.84375,21.375,37407.140625,3694.59375,2828.90625,13140.069198608398,30994.54482269287,19106.515625
Inting For Globes,Heroic,4.770731707317073,42,118.140625,107.60763888888889,131.03819444444443,154.13715277777777,162.19960317460323,183.1147752267885,374.8419344405901,68.15738069072523,104420.80555555556,142073.94444444444,13887.916666666666,996.4444444444445,432.69444444444446,2522.8333333333335,13.055555555555555,57.111111111111114,12,36825.47222222222,2972.0555555555557,2388.1944444444443,10997.096761067709,26178.882602267797,15400.194444444445
Pepegas on Ice,C,3.646788990825688,37,122.45,117.19500000000001,146.11999999999998,167.765,167.71218750000003,155.397127056054,332.4283538565017,60.80865186788347,96449.32,139738.92,10813.32,1163.7625,396.52,933.4,10.92,61.12,8.68,40926.88,3062.9175,2309,7911.9111328125,29722.806787109374,20963.4
Nexus Forces,Nexus,4.108303249097473,26,121.47596153846153,111.96875000000001,137.78125,156.52644230769226,169.48457532051282,177.23645588800008,346.54742078521315,71.4121224630974,117226.80769230769,173209,16869.923076923078,1066.2403846153845,472.15384615384613,3917.9615384615386,1.8846153846153846,45,22.23076923076923,40354.730769230766,2148.346153846154,2896.153846153846,9716.464909480168,26091.32560847356,16460.269230769234
gillyShark at !Bingo night,A,4.180995475113122,42,123.39285714285714,110.90178571428572,144.1919642857143,152.02678571428572,170.52232142857144,162.14656838491845,341.69887220446583,61.12986012810306,95901.71428571429,146318.64285714287,12332.92857142857,1185.0691964285713,387.25,2139.8571428571427,27.428571428571427,66.67857142857143,38.357142857142854,41344.482142857145,5066.983058384487,2004.4642857142858,9420.1916242327,33036.410618373324,20550.982142857138
smoke,A,3.7451612903225806,43,125.32366071428571,114.18750000000001,147.62053571428572,163.609375,161.67299107142856,168.80934373804124,319.02206809457726,70.35454301520828,102576.82142857143,149431.67857142858,14832.214285714286,1129.7075892857142,480.9642857142857,1506,28.214285714285715,66.75,28.285714285714285,38743.94642857143,3072.982421875,1980.357142857143,10680.068385532924,28822.378967285156,21970.33928571429
Fino o Ñofi,Heroic,4.68348623853211,39,126.42456896551724,114.55603448275863,142.18318965517238,176.5344827586207,180.00774265644952,195.17790725831344,300.5847275964026,77.1085944380101,123260.68965517242,193060.62068965516,17299.241379310344,1144.8793103448277,518.1034482758621,1164.896551724138,14.793103448275861,58.03448275862069,24.75862068965517,38166.275862068964,3647.8088631465516,1705.1724137931035,11735.150777882543,29092.699690193964,19301.896551724138
Macro Machines,BW,3.4238683127572016,43,127.78846153846153,119.15384615384615,145.9831730769231,177.01201923076923,184.98798076923072,151.79895982893808,322.0366678993841,64.28459934170498,90198.11538461539,140172.84615384616,12241.115384615385,1171.454326923077,423.84615384615387,1696.3846153846155,11.23076923076923,36.61538461538461,11.76923076923077,39246.769230769234,3451.423076923077,2025,8370.642202524039,30017.057983398438,22744.307692307688
Magnitude: Aftershock,BW,5.321033210332104,27,124.26704545454545,118.7253787878788,143.06060606060606,168.27840909090907,167.37168560606062,159.6483243521808,362.1144218903449,55.24774693254764,78821.0303030303,109833.66666666667,7007.575757575758,1236.034090909091,361,677.8181818181819,8.606060606060606,41.90909090909091,11.484848484848484,44494.393939393936,4046.0290749289775,3318.939393939394,9705.99365234375,33513.74091500947,21811.484848484848
Witch Rhythm,DE,4.105263157894737,34,130.33928571428572,127.06785714285712,155.79107142857146,183.51769480519482,179.72348484848487,137.16411612212303,292.53560352208035,49.70813573333016,79192.05714285714,113574.37142857142,8313.657142857142,1110.9732142857142,359.37142857142857,1952.3142857142857,20.914285714285715,54.51428571428571,12.714285714285714,34451.08571428571,3368.837472098214,1447.142857142857,8559.25466657366,27911.630106026787,21234.771428571432
CM Daybreak,BE,3.315186246418338,31,123.82862903225806,120.97782258064517,142.6733870967742,173.1915322580645,169.901904894327,166.16826600268814,302.16074723316336,66.43466619334262,104661.16129032258,151521.61290322582,12809.41935483871,1136.0766129032259,503.96774193548384,2134,15.258064516129032,51.67741935483871,29.193548387096776,35747.8870967742,3955.6688271799394,2358.064516129032,9034.226145098286,30426.71296938004,22527.403225806447
Protectors of Shakuras,DE,4.451923076923077,45,131.76607142857142,117.55178571428573,149.94464285714284,177.45892857142854,173.11123271889403,155.30505413152744,306.0326933144521,63.800224625930944,102720.54285714286,137900.6,12871.914285714285,1167.494642857143,444.9714285714286,1026.142857142857,9.17142857142857,55.68571428571428,27.142857142857142,34835.65714285714,3418.3714285714286,1942.142857142857,9965.9326171875,32329.62961077009,20388.057142857142
Habitual Line Steppers,E,2.9839357429718874,31,122.34510869565217,106.5842391304348,147.04891304347822,160.88821640316206,166.9232954545455,146.17259629775583,339.6042506167893,50.501038066208146,93923.82608695653,141084.73913043478,11446.521739130434,1160.5625,515.7826086956521,1131.3478260869565,24.391304347826086,54.43478260869565,45.95652173913044,42324.97826086957,3455.913043478261,1567.391304347826,8443.070875084919,31572.2099609375,22317.10869565217
Surely We Scale,C,6.322097378277154,34,119.31458333333333,109.55416666666667,136.19166666666663,165.34166666666664,163.91041666666672,159.4179159357596,361.2307548138416,62.33282696205236,108141.43333333333,147042.36666666667,15618.5,1264.6625,411.1666666666667,1582.4,25.533333333333335,73.93333333333334,29.333333333333332,43094.88333333333,3495.9666666666667,3832.5,12684.640901692708,36366.85055338542,28953.216666666674
Durotan's Couch,Nexus,4.353356890459364,38,119.98060344827586,112.88362068965519,134.86637931034483,162.989224137931,175.63731527093603,166.83084925420968,324.5568540103242,74.24215910229876,110232.89655172414,152573.27586206896,17744.758620689656,1094.7844827586207,438.2758620689655,1182.0689655172414,14.862068965517242,64.82758620689656,13.03448275862069,38012.1724137931,4180.241379310345,1997.4137931034484,9184.660812904094,28664.2468514278,19426.103448275862
FC Hong Kong,C,3.26271186440678,37,121.82291666666667,113.94531249999999,146.89062500000003,170.73958333333331,160.15513392857144,157.31947636263956,302.8161608282624,59.98973510849573,100095.41666666667,144029.20833333334,12841.625,1158.7942708333333,532.4166666666666,2456.5,13.833333333333334,54.25,34.416666666666664,39163.291666666664,3530.3128865559897,2406.25,9186.181610107422,30981.277018229168,24203.625
Came From Behind,A,6.064285714285714,37,128.4375,123.3125,140.26077586206895,163.1034482758621,175.14734993614297,162.84577153376713,276.857987235397,64.99080339182706,99599.72413793103,132714.41379310345,10688.51724137931,1132.3103448275863,397.37931034482756,1280.655172413793,22.93103448275862,61.58620689655172,30.448275862068964,35578.15517241379,4663.741589776401,2000.8620689655172,11034.260506465518,31691.311077249462,20726.982758620696
Gambit Gaming,A,5.349282296650718,34,122.25240384615384,109.77884615384616,142.6418269230769,170.7163461538462,175.125,167.43682938265053,354.117520059543,67.19709689155292,113282.19230769231,156642.1923076923,12666.76923076923,1241.6057692307693,330.8076923076923,1796.2307692307693,18.846153846153847,80.42307692307692,19.346153846153847,45902.5,3489.0384615384614,2600.9615384615386,10550.688401442309,33777.74155836839,23174.653846153844
